,lengthOfEmailId,noOfDotsInEmailId,noOfDashesInEmailId,noOfSpecialCharsInEmailId,noOfDigitsInEmailId,noOfSubdomainsInEmailId,noOfUrls,noOfDotsInUrls,noOfDashesInUrls,noOfSpecialCharsInUrls,hasIpAddressInUrls,noOfIpAddressInUrls,noOfHttpsLinks,no_of_attachments,class_label,noOfMaliciousWords
0,29,0,0,1,3,0,2,5,0,2,1,1,1,1,1,6
1,21,0,0,0,0,0,2,5,1,9,0,0,0,0,1,46
2,21,0,0,0,0,0,2,6,1,8,0,0,0,0,1,28
3,19,0,0,0,0,0,3,8,0,6,1,1,1,0,1,70
4,19,0,0,0,0,0,3,8,0,6,1,1,1,0,1,70
5,23,0,1,0,0,0,3,11,2,10,0,0,1,0,1,64
6,18,0,0,0,0,0,2,6,3,7,0,0,1,0,1,54
7,18,0,0,0,0,0,5,12,6,14,0,0,1,0,1,77
8,18,0,0,0,0,0,7,16,4,23,0,0,1,0,1,91
9,34,0,0,1,7,0,2,8,0,2,1,1,1,1,1,5
10,21,0,1,0,2,0,7,22,1,10,0,0,0,0,1,53
11,24,0,0,0,0,0,4,15,1,5,1,1,1,0,1,106
12,18,0,0,0,0,0,5,14,5,12,0,0,3,0,1,100
13,19,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
14,15,0,0,0,0,0,20,60,2,27,1,1,2,0,1,110
15,35,0,0,2,8,0,2,8,0,2,1,1,1,1,1,6
16,19,0,1,0,0,0,8,26,3,14,1,1,0,0,1,104
17,17,0,1,0,0,0,11,32,5,21,0,0,0,0,1,84
18,16,0,0,0,0,0,5,14,0,8,1,1,0,0,1,59
19,16,0,0,0,0,0,5,14,0,8,1,1,0,0,1,59
20,22,0,0,0,0,0,3,11,0,5,1,1,1,0,1,48
21,22,0,0,0,0,0,3,11,0,5,1,1,1,0,1,48
22,22,0,0,0,0,0,3,10,0,3,0,0,1,0,1,3
23,18,0,0,0,0,0,4,9,3,12,0,0,1,0,1,57
24,18,0,0,0,0,0,4,9,4,12,0,0,1,0,1,57
25,19,0,0,0,0,0,3,11,0,6,1,3,0,0,1,25
26,22,0,0,0,0,0,3,12,1,5,1,1,1,0,1,48
27,32,0,0,1,5,0,2,5,0,3,1,1,1,1,1,3
28,37,0,0,2,6,0,2,5,0,3,1,1,1,1,1,7
29,24,0,0,0,0,0,3,13,0,7,0,0,1,0,1,80
30,25,0,0,0,0,0,3,11,0,6,1,1,1,0,1,18
31,18,0,0,0,0,0,2,8,0,5,1,1,1,0,1,38
32,25,0,0,0,0,0,2,9,0,6,1,1,1,0,1,45
33,21,0,1,0,2,0,19,58,4,50,1,1,0,0,1,105
34,21,0,1,0,2,0,19,58,4,50,1,1,0,0,1,105
35,23,0,0,0,0,0,3,13,2,12,1,1,1,0,1,70
36,18,0,0,0,0,0,5,12,6,14,0,0,1,0,1,75
37,30,0,0,2,2,0,2,6,0,5,1,1,0,1,1,5
